Espèces;Famille;Date;Nombre d'espèce;Prélèvement;Fungarium;N° Exsiccata;Récolteur(s);Déterminateur(s);Légataire récolte;Site;Fiabilité détermination;Commentaire
Volvopluteus gloiocephalus (DC.) Vizzini, Contu & Justo;Pluteaceae;29/11/2025;1;Non;Non;;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 4;Certaine;Individus déjà très dégradés.
Cuphophyllus virgineus (Wulfen) Kovalenko;Hygrophoraceae;29/11/2025;1;Non;Non;;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 5;Probable;
Cuphophyllus russocoriaceus (Berk. & Miller) Bon;Hygrophoraceae;29/11/2025;1;Non;Non;;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 5;Probable;
Agaricus sordidus Schumach.;Clitocybaceae;29/11/2025;1;Oui;Oui;RNNCS-P05-291125-001;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 5;Probable;
Cuphophyllus russocoriaceus (Berk. & Miller) Bon;Hygrophoraceae;29/11/2025;1;Oui;Oui;RNNCS-P03-291125-001;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 3;Probable;
Lepista sordida (Schumach.) Singer;Tricholomataceae;18/12/2025;2;Oui;Oui;RNNCS-P05-181225-001;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 5;Probable;
Panaeolus foenisecii (Pers.) Kühner;Galeropsidaceae;18/12/2025;5;Oui;Oui;RNNCS-P05-181225-002;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 5;Probable;
Volvopluteus gloiocephalus (DC.) Vizzini, Contu & Justo;Pluteaceae;18/12/2025;1;Non;Non;;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 3;Certaine;Individus déjà très dégradés.
Stereum hirsutum (Willd.) Pers.;Stereaceae;18/12/2025;12;Oui;Oui;RNNCS-P03-181225-001;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 3;Certaine;
Mycena galericulata (Scop.) Gray;Mycenaceae;18/12/2025;1;Non;Non;;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 3;Probable;
Panaeolus foenisecii (Pers.) Kühner;Galeropsidaceae;18/12/2025;4;Non;Non;;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 3;Probable;
Tubaria furfuracea (Pers.) Gillet;Tubariaceae;18/12/2025;2;Oui;Oui;RNNCS-P01-181225-001;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 1;Probable;
Cuphophyllus virgineus (Wulfen) Kovalenko;Hygrophoraceae;18/12/2025;2;Oui;Oui;RNNCS-P01-181225-002;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 1;Probable;
Tulostoma brumale Pers., nom. sanct.;Tulostomataceae;18/12/2025;2;Oui;Oui;RNNCS-P01-181225-003;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 1;Certaine;
Hygrocybe calciphila Arnolds;Hygrophoraceae;18/12/2025;2;Oui;Oui;RNNCS-P01-181225-004;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 1;Probable;
Hygrocybe insipida (J.E. Lange ex Lundell) Moser;Hygrophoraceae;18/12/2025;1;Oui;Oui;RNNCS-P01-181225-005;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 1;Probable;
Conocybe tenera (Schaeff.) Fayod;Bolbitiaceae;18/12/2025;2;Oui;Oui;RNNCS-P02-181225-001;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 2;Probable;
Cuphophyllus virgineus (Wulfen) Kovalenko;Hygrophoraceae;18/12/2025;4;Non;Non;;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 2;Probable;Individus déjà très dégradés.
Conocybe tenera (Schaeff.) Fayod;Bolbitiaceae;18/12/2025;2;Non;Non;;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 4;Probable;
Mycena galericulata (Scop.) Gray;Galeropsidaceae;18/12/2025;2;Non;Non;;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 4;Probable;
